episode,reward
1,-1391.4116723669176
2,-1409.9155473091432
3,-1385.3691033867149
4,-1459.2919490335435
5,-1420.4892787340027
6,-1366.2524143352973
7,-1594.0717334198748
8,-1667.02114425271
9,-1561.4261453222027
10,-1699.6880706514203
11,-1618.4972436073149
12,-1159.4407397916766
13,-973.7937492574067
14,-1048.9702488745017
15,-1201.4520806368841
16,-1109.7737798733654
17,-925.8752981267068
18,-857.0690252045347
19,-905.0388602207415
20,-1056.377934692248
21,-1059.5373032656564
22,-1080.2321534250812
23,-1517.1118268498171
24,-786.6546769035352
25,-913.7216769675281
26,-773.4888051301674
27,-648.1904693340364
28,-987.4209310912514
29,-1078.828121988824
30,-773.3450214872462
31,-896.8635925554117
32,-780.7210176856424
33,-909.4649718155572
34,-1038.8804638096049
35,-1017.0098940233976
36,-913.1366127657295
37,-512.1261251414401
38,-657.804790882998
39,-509.6108715942095
40,-137.1768589826158
41,-345.379800581328
42,-120.96116297314964
43,-354.87704518893304
44,-122.13264523721519
45,-325.47008083479983
46,-232.53218611447488
47,-253.14513816162122
48,-121.0530475109797
49,-125.88463169120237
50,-247.885673676555
51,-360.7283370188763
52,-331.6973948183367
53,-381.19144367264
54,-0.26594918055408867
55,-124.31707473662708
56,-119.26378866953297
57,-123.00462941266899
58,-118.74727582450838
59,-238.64486263866405
60,-242.79148934004664
61,-238.21856725112264
62,-2.126574192988845
63,-124.02260765708847
64,-349.3402105391395
65,-122.74064055725583
66,-123.55153075551357
67,-120.27964228199025
68,-346.860489826102
69,-120.84745529225822
70,-126.00842941859999
71,-127.12189863306169
72,-242.87003708889247
73,-1.9734700549343867
74,-121.45739363406025
75,-241.02195212448723
76,-119.53128867751286
77,-123.59732095722275
78,-0.38192101467387785
79,-117.02684222928363
80,-119.81872905218685
81,-121.23469860359828
82,-116.83457375273376
83,-120.96277126218914
84,-1.2378712806445384
85,-119.48050025266639
86,-120.2114651393634
87,-234.56499903167958
88,-1.7121803217802383
89,-116.25537679876264
90,-124.01623511391591
91,-118.24775460872252
92,-126.46886472748459
93,-122.6336350853234
94,-122.7797042963444
95,-121.25519242717444
96,-123.28355766539823
97,-122.44941788386771
98,-255.6450747406728
99,-235.24137128981943
100,-251.80770061228134
101,-125.07443059798265
102,-244.5222742365926
103,-129.11735073167543
104,-255.487189133036
105,-126.07096768338161
106,-260.37964574190767
107,-124.08020220345043
108,-121.72688042368705
109,-1.2849713448772282
110,-227.96460497259073
111,-1.4054261056008013
112,-120.39527087858866
113,-117.84748055157402
114,-122.73527200063454
115,-271.92993560452476
116,-3.0413963809337137
117,-1.7896330755097463
118,-117.36868292306525
119,-238.58123874433466
120,-319.3585911885113
121,-231.6165180679585
122,-114.73446770229955
123,-246.9007634738538
124,-121.5050601820841
125,-119.32994940775905
126,-236.93102875945291
127,-233.0043554406409
128,-232.33716074315322
129,-118.01279733364473
130,-231.4896340274272
131,-124.02049628944327
132,-117.54703016672602
133,-362.12850084859366
134,-250.50017400280186
135,-123.64598844010463
136,-225.55137963425534
137,-343.77420418798744
138,-229.71326024306254
139,-121.91735560103646
140,-352.8947601990635
141,-251.99047840629572
142,-372.81144083359754
143,-240.60018970720503
144,-243.74022230711944
145,-236.0064197036904
146,-240.21431721731295
147,-123.93092601051812
148,-1.8244306790373463
149,-236.10546752965453
150,-237.94779391120673
151,-244.83999404991812
152,-228.5310647844914
153,-234.68634599704765
154,-116.51715077629575
155,-3.046440113414019
156,-124.81955039574767
157,-122.30462928805609
158,-129.61147471039288
159,-240.80062335234234
160,-122.62894953838033
161,-251.9724739855766
162,-127.07902126467233
163,-118.45859700461327
164,-120.3181372562343
165,-244.65045001249194
166,-123.66225972720764
167,-226.3229195397596
168,-127.38086472276561
169,-233.03819700506025
170,-4.321524600595536
171,-117.88513472034225
172,-125.83049533708672
173,-119.88195141429819
174,-243.34211711106838
175,-243.93976646933527
176,-128.23126046723118
177,-374.8114660041996
178,-235.66413369458715
179,-121.71689919395652
180,-4.364441231662741
181,-229.19702339888795
182,-126.03739184823147
183,-124.14835461128403
184,-246.95260180974736
185,-134.47198511665164
186,-128.0324631781442
187,-307.98196414392237
188,-243.70461087056597
189,-7.415668321381066
190,-238.15360737170505
191,-258.07794516258576
192,-5.192374444268639
193,-2.7978790254878
194,-116.53462426043818
195,-117.90485130664011
196,-241.36710778027205
197,-119.40805453281907
198,-125.57632164438819
199,-248.4931500668442
200,-251.10756135700848
201,-128.45609495484882
202,-119.55919508187394
203,-239.77057523918745
204,-130.0303853315929
205,-116.59962591157414
206,-121.88634402084598
207,-3.6220534107808233
208,-122.73905134070861
209,-3.8544609501107923
210,-226.56329534593704
211,-129.2433059832048
212,-236.99611055364363
213,-130.30766553111252
214,-122.58151112325662
215,-244.8694395824733
216,-275.42643118448245
217,-129.04617067452233
218,-132.18939356237763
219,-126.23338321521875
220,-4.03382514367826
221,-235.34839570809328
222,-128.92018917049072
223,-123.22085373712319
224,-118.7360939442486
225,-119.26358896246174
226,-122.30238728223802
227,-129.3171056205992
228,-240.33761818805965
229,-250.15146504297857
230,-124.50418613269086
231,-240.94151586967234
232,-128.4044212813379
233,-122.42147765798599
234,-117.85325283559845
235,-120.93968568290255
236,-116.00369724162358
237,-123.80478377972769
238,-2.2212667226595504
239,-128.65920260006453
240,-127.84546110214441
241,-3.3067863553685832
242,-117.70956460896399
243,-3.148382661899784
244,-121.77525140748624
245,-123.54895440232593
246,-2.118826250878828
247,-122.8122843740289
248,-122.06018877198302
249,-246.15435899050468
250,-326.38303823276055
251,-229.79014802461433
252,-5.043518137913617
253,-129.00974356116453
254,-4.82299986601002
255,-122.08375863815705
256,-125.91138322236755
257,-3.2293455388442944
258,-120.64377840831517
259,-226.76068862161796
260,-241.0356598344641
261,-294.4299333578859
262,-231.1477634666516
263,-127.98433496085573
264,-119.10145726035324
265,-127.3503813388652
266,-3.022835009491825
267,-233.13970462182152
268,-227.21731454203024
269,-225.35386780013442
270,-230.85962507572094
271,-226.6967392931038
272,-118.37943538510058
273,-225.0771080392019
274,-115.55182448618301
275,-126.71956420117579
276,-120.15507289327103
277,-118.28347403715081
278,-119.54305092220288
279,-119.61189575973299
280,-122.52502239538914
281,-122.83764435596476
282,-355.1004940134085
283,-118.99345122110424
284,-245.8491818062932
285,-242.7131477846027
286,-238.0010575389566
287,-3.381946944753529
288,-333.18944583179854
289,-246.80794655699108
290,-241.2608671109566
291,-120.15477350849784
292,-121.07248360435503
293,-128.90363970311031
294,-4.819711074197791
295,-131.1843529102055
296,-121.22066536093757
297,-236.53424651605894
298,-128.71120744905667
299,-366.3910990064233
300,-124.2846238926996
301,-246.55305102567092
302,-225.61313189287884
303,-346.3196783551321
304,-5.688828575920527
305,-126.70240548608945
306,-221.45069894554933
307,-1.670179201741946
308,-2.8890530116697843
309,-228.9967543819873
310,-123.10511316333842
311,-125.16715299495937
312,-227.81359879523185
313,-116.69414367201536
314,-125.52839559255371
315,-230.68130749302532
316,-119.47913306444886
317,-122.27309472185095
318,-3.182402578043285
319,-234.22040383407992
320,-130.5818196833808
321,-122.60966501924393
322,-4.888456661659894
323,-122.45375538624444
324,-131.2653290181206
325,-124.06867446076912
326,-6.38942178498927
327,-117.56590065933888
328,-234.16526344653943
329,-127.9869942237449
330,-251.72607658572974
331,-130.69073369440673
332,-127.15055557813078
333,-2.520287841998949
334,-2.0600983011124296
335,-124.30109058524118
336,-123.79978365568695
337,-233.266893979471
338,-126.80943147017577
339,-120.82864912602831
340,-229.94000854676085
341,-245.1163510177988
342,-3.3469920411743352
343,-233.59832209205663
344,-231.56430623771445
345,-227.82728690818968
346,-121.97792543069433
347,-129.7814062101412
348,-130.08136131113613
349,-130.05693890295348
350,-121.60286799952748
351,-236.00078690734927
352,-118.21675639906798
353,-229.45641634680945
354,-128.77063192892595
355,-246.4194676860441
356,-121.39221025891415
357,-118.11340324647954
358,-125.50089614672582
359,-119.50542269580524
360,-248.32927497833282
361,-118.70886189707127
362,-221.7711636803894
363,-124.36445124262903
364,-115.94260834565686
365,-122.2073496330397
366,-231.51770309466949
367,-2.573891413113204
368,-129.18238468946666
369,-376.9693691475501
370,-223.85529443715242
371,-120.47571943618786
372,-121.04512649451736
373,-222.04503257503583
374,-3.2967772789591154
375,-131.5490969591207
376,-226.28710754237525
377,-3.4921204467278244
378,-119.87738962436273
379,-337.0116615317147
380,-234.30916815310522
381,-120.06284518884571
382,-237.65431358447196
383,-2.2193999622649843
384,-118.70855863884522
385,-2.801037686138086
386,-2.292954117238474
387,-322.52035133820215
388,-126.56452549930486
389,-127.00159000024894
390,-228.02006995375675
391,-225.3360935864209
392,-247.25151327441372
393,-238.82268044511005
394,-120.43489487850887
395,-126.69604193976987
396,-3.6956870731852876
397,-223.19456494908096
398,-226.01033804694583
399,-221.23312441346746
400,-120.00336305590957
401,-123.1470388664561
402,-126.82028884112567
403,-124.07169429532931
404,-222.04748603408325
405,-4.3280899978134135
406,-118.03103995219246
407,-128.8636417295048
408,-120.14062484709532
409,-4.892995558607748
410,-121.43658886504218
411,-232.77764262499912
412,-256.02172511069017
413,-127.35676012766179
414,-5.804785886212464
415,-123.3878100401942
416,-122.1997766578309
417,-122.46215628736354
418,-129.9349155195864
419,-122.48482039641478
420,-6.553697594521348
421,-3.794359094345535
422,-3.623559120996258
423,-125.39407042707943
424,-121.42695716631304
425,-126.53597342158685
426,-325.32591651636614
427,-4.218032057570416
428,-125.41724829442407
429,-128.86270605632726
430,-5.89616624887541
431,-5.265234337831895
432,-125.78977791709265
433,-7.806383086671778
434,-127.96724156427477
435,-127.25459871496338
436,-2.737923905320165
437,-236.13231352852998
438,-125.19529398684634
439,-4.224556756156339
440,-243.29016233451839
441,-123.63904209559894
442,-238.7299298380421
443,-119.84441946751403
444,-122.45514575591245
445,-125.23676094860505
446,-124.69263296022734
447,-126.39457734130352
448,-128.54956144698397
449,-4.594184241997333
450,-229.91723259284134
451,-236.84389978864377
452,-126.2658259610529
453,-121.3718674029236
454,-1.4646718080636882
455,-247.71231984748172
456,-123.69377962158227
457,-118.03551560334941
458,-121.30951270723988
459,-4.409656326949598
460,-130.21822732632236
461,-124.17510629285444
462,-3.822746597818826
463,-119.83024754486046
464,-121.79651025130073
465,-3.8306541630227158
466,-127.49140100923385
467,-121.56905298061537
468,-122.62845460560816
469,-230.15889452745307
470,-3.950254862449521
471,-2.3588443951733313
472,-126.20883644185791
473,-231.23695742576257
474,-116.42545438759561
475,-345.12990504754
476,-123.63489828928812
477,-121.31504687063693
478,-223.57038152299032
479,-123.29514161871397
480,-4.221189247769362
481,-233.1850923372834
482,-127.73465394314326
483,-4.25187586150244
484,-121.84791784531267
485,-125.33670388220227
486,-116.29724851642732
487,-222.5943169568791
488,-1.1538795731157412
489,-229.55407107609355
490,-365.6837109031341
491,-240.03096278886784
492,-237.71015835747284
493,-234.34763798571169
494,-122.44955042059374
495,-128.79983917464057
496,-243.10485796571461
497,-128.27667277435472
498,-126.99282802070421
499,-232.0134887095493
500,-7.529883271111952
