episode,reward
1,218.30023013985019
2,137.26877070152656
3,125.93342437325721
4,343.7538003847588
5,357.41794316391105
6,225.38723909240275
7,203.70003345066573
8,269.2405100976603
9,363.1528690520831
10,590.1184224875179
11,350.342490892477
12,509.5788046537956
13,408.54995180713763
14,363.56827374853805
15,450.1494482566406
16,513.4433178452815
17,454.19510048936377
18,507.5925100390476
19,550.2911786903621
20,766.7259365771997
21,729.9117707137433
22,798.2563733556967
23,971.3200461652267
24,715.7924867787104
25,753.8365237714672
26,781.2516024979159
27,715.0976488524533
28,636.5606200867641
29,850.5822965246725
30,839.6658216852543
31,809.2315065144281
32,731.9755157886881
33,833.9122372582376
34,927.4537258529439
35,827.034057303089
36,391.72359011859896
37,812.9001760308722
38,830.6167871581026
39,726.5017814801503
40,637.971115574198
41,669.1797088882279
42,769.427671566464
43,769.2782046364321
44,847.3273101967819
45,939.2194820578869
46,880.7321406645459
47,853.086942865115
48,838.9437144363719
49,989.8890150832864
50,975.6944020155031
51,987.922356779128
52,903.918446679947
53,821.8101778017722
54,846.1424945075381
55,942.4839999280028
56,855.899190174088
57,987.9032155901458
58,831.5282267820357
59,966.6732277768707
60,803.1203239601164
61,579.0646178894808
62,857.226700959247
63,871.9928157238717
64,941.0217750024735
65,951.5665299920593
66,947.6952772010275
67,981.7397725291263
68,983.257851726141
69,993.7719071151749
70,992.0300403620173
71,994.9313488477848
72,991.7750897906659
73,970.5882191180685
74,709.4846466614349
75,990.4310982525607
76,986.6233585567187
77,967.2424186961491
78,971.7454901571288
79,964.5229833410522
80,965.0298643702002
81,964.441926640698
82,796.9655656610163
83,874.9296772652276
84,988.1289526248247
85,968.4744684041144
86,971.6293521090329
87,884.4356571477455
88,781.5768449241793
89,746.3919174420525
90,750.2141273672115
91,992.8733251303361
92,781.4208453875135
93,834.8600706121327
94,803.8073999118649
95,970.4190160310867
96,793.9500174656866
97,975.070589461308
98,952.87809199191
99,981.2249834529437
100,975.5099912729418
101,969.6219212941603
102,924.6519385962606
103,940.3302735614403
104,917.8883739967619
105,886.792926082335
106,882.4835812561532
107,924.7813523820374
108,965.8280282587763
109,954.7079279502766
110,938.4708457443377
111,954.3156053755741
112,906.89879615801
113,657.6769875957527
114,909.6429737814877
115,954.0320044990355
116,931.9324883799931
117,917.4144119703057
118,953.7920473746143
119,966.9736499592664
120,957.9109832165836
121,958.229879880421
122,956.7083591642142
123,961.6577993212505
124,949.4164132908355
125,949.2926496886737
126,937.700251758092
127,950.636607728413
128,961.3717227452489
129,973.8916340104394
130,974.9727350791497
131,971.8453061954134
132,968.641112354422
133,970.1224187470887
134,869.1227289868367
135,963.6952089951825
136,949.8954112565503
137,933.1730808280117
138,888.7459824101675
139,787.5647664663653
140,949.2016173347694
141,883.1492939365347
142,931.4174830189302
143,893.0361752001277
144,941.610070701478
145,963.0292717795993
146,955.7072144084683
147,932.5766149320507
148,955.034040536865
149,980.4731229061573
150,975.5543226354924
151,968.5985599943111
152,915.007558649601
153,956.9835473732941
154,914.7759095606145
155,885.4938505383795
156,913.8768258497001
157,915.28523956289
158,966.3295073676954
159,949.9132741484215
160,888.1440816890708
161,951.8800076724925
162,931.6246371925619
163,954.5855526536095
164,960.147214244169
165,972.6667861696322
166,973.233948767823
167,951.5884067636658
168,978.1369422678911
169,988.3686237282932
170,725.7759842443619
171,959.7301683871698
172,966.4185621868321
173,982.6904498776374
174,980.7999012837012
175,877.8917273826971
176,952.1520508147123
177,960.2418043768726
178,933.2627297516937
179,950.9507178622342
180,959.3064792988209
181,960.6912817441249
182,938.5616325506473
183,946.3794007349901
184,938.4313288562012
185,939.2000940624342
186,926.2483571874598
187,989.7479608214264
188,993.0364818374612
189,990.3924864804392
190,989.7703705415177
191,979.6340267242217
192,985.2469197308228
193,982.8646192155868
194,974.9346919111719
195,946.1651784697975
196,967.140497179996
197,961.4005518967604
198,970.0792418109062
199,969.1436483170991
200,978.0948022964486
201,955.4928956342313
202,956.6426142434434
203,938.7226259421554
204,951.7779707504371
205,963.4138299421363
206,777.8879068982272
207,747.2586123157597
208,819.9713416358871
209,990.3579420254663
210,995.9393846717228
211,994.4543385666492
212,996.834862368543
213,836.4006222709434
214,873.7762903121595
215,878.313571633542
216,929.067706525004
217,977.6616958179594
218,942.5610543481997
219,970.2588442649038
220,984.3632939895555
221,975.6451194708226
222,995.2464418474541
223,995.7357243067808
224,992.7810150921024
225,987.5608276286621
226,968.0591470458583
227,964.634520405915
228,954.9968672293248
229,947.7747526969531
230,943.7217817347175
231,875.1905859819035
232,852.9404633898068
233,983.365232149311
234,844.7087239715837
235,978.8904243227861
236,983.128786114152
237,907.2246279991468
238,935.3386281592482
239,893.2480675003748
240,876.5247688194876
241,914.9082196352634
242,945.9449524541146
243,977.3849726375108
244,965.7844994538194
245,960.379851045076
246,969.1906062764351
247,978.2851607137576
248,977.8845996041475
249,981.8155025940409
250,961.7069281168342
251,961.8024291972984
252,930.6722379546155
253,950.8502169793945
254,957.0168009413968
255,968.4574702052489
256,975.5820025992008
257,965.9119427628191
258,962.6822636934095
259,952.7914399098368
260,954.9952220644121
261,940.759893508517
262,927.7166900497615
263,938.4484611985025
264,906.7302760901713
